Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-04-01,93.0,106.0,92.2,104.0,52572,139256,48809,6695826,65502112131790.0,7220.0,127826531,0.0777,0.0474,7.273,2592.0,64.987,8193.0,15.248,75756.0,19.962,0.867,10975275.0,481891.36,118.0
2013-04-02,104.0,118.4,99.0,118.0,63095,175443,62276,6695826,61845596902013.0,7990.0,257306533,0.105,0.0539,7.956,4400.0,94.955,8193.0,17.192,91875.0,20.024,1.338,10988125.0,531299.50374904,135.0
2013-04-03,118.0,147.0,110.0,135.0,63766,184209,69174,6695826,60270367548897.0,8852.0,252194497,0.133,0.06,8.229,4478.0,102.53299999999999,8193.0,26.608,107142.0,19.987000000000002,1.5959999999999999,10986575.0,538423.8802100001,132.1
2013-04-04,135.0,142.1,116.4,132.1,66738,221568,71753,6695826,55272455140085.0,8777.0,226470029,0.141,0.0618,9.351,4249.0,123.314,8193.0,24.680999999999997,108890.0,19.99,1.9480000000000002,10995725.0,525157.6,142.3
2013-04-05,132.1,144.9,130.2,142.3,61215,190067,69310,7005058,51815454745655.0,9950.0,227376421,0.12,0.0643,9.113999999999999,4348.0,125.18299999999999,8193.0,20.514,100034.0,19.833,1.432,10999925.0,606454.78155612,142.6
2013-04-06,142.3,143.9,139.5,142.6,51555,158566,52062,7673000,61828214750416.0,8923.0,157618282,0.10099999999999999,0.0671,8.834,3458.0,90.165,8193.0,16.632,83086.0,19.833,0.9470000000000001,10997875.0,656408.77,162.3
2013-04-07,142.6,164.9,142.6,162.3,63377,205411,51482,7673000,62710014647861.0,9411.0,127226834,0.121,0.071,8.78,2445.0,64.295,8193.0,16.917,87097.0,19.767,1.3019999999999998,11008200.0,786232.0,187.5
2013-04-08,162.3,194.9,162.6,187.5,61525,195118,66793,7673000,63348133569501.0,10124.0,209959555,0.12300000000000001,0.0818,9.29,4044.0,130.618,8193.0,25.225,113894.0,19.689,1.183,11012400.0,656770.227986549,230.0
2013-04-09,187.5,240.1,186.5,230.0,66803,179129,74640,7673000,65111643775833.0,13352.0,324241653,0.14400000000000002,0.0977,8.182,6073.0,193.144,8193.0,30.776,112075.0,19.714000000000002,1.11,11008975.0,924462.0,165.0
2013-04-10,230.0,266.0,105.0,165.0,63690,168442,83776,7673000,70206503841325.0,12305.0,432598611,0.18100000000000002,0.0892,7.539,8125.0,339.149,8193.0,47.699,133453.0,19.762,1.34,11021100.0,513594.87876000005,124.9
