Python,DeepLearning,MachineLearning,BigData,CloudComputing,Placement
0.8,0.57,0.63,0.5,0.34,Yes
0.81,0.9,0.62,0.71,0.92,No
0.49,0.69,0.62,0.64,0.41,No
0.4,0.94,0.6,0.26,0.47,No
0.31,0.87,1,0.23,0.99,No
0.14,0.87,0.09,0.92,0.7,No
0.21,0.8,0.88,0.63,0.36,No
0.08,0.78,0.61,0.4,0.63,No
0.81,0.17,0.9,0.5,0.61,No
0.31,0.28,0.79,0.12,0.67,No
0.28,0.13,0.46,1,0.06,No
0.22,0.63,0.5,0.02,0.29,No
0.86,0.67,0.65,0.31,0.32,No
0.91,0.21,0.22,0.74,0.37,No
0.88,0.83,0.93,0.19,0.63,No
0.11,0.35,0.6,0.82,0.4,Yes
0.08,0.97,0.76,0.1,0.25,Yes
0.38,0.46,1,0.74,0.11,Yes
0.89,0.01,0.14,0.51,0.47,Yes
0.3,0.37,0.18,0.18,0.59,Yes
0.09,0.16,0.77,0.87,0.01,Yes
0.4,0.56,0.39,0.45,0.8,Yes
0.12,0.37,0.03,0.46,0.79,Yes
0.7,0.38,0.07,0.02,0.37,Yes
0.45,0.8,0.12,0.24,0.02,Yes
0.16,0.45,0.54,0.98,0.11,Yes
0.13,0.24,0.52,0.68,0.48,Yes
0.08,0.17,0.17,0.02,0.35,Yes
0.48,0.29,0.61,0.8,0.45,Yes
0.27,0.24,0.54,0.71,0.36,Yes
0.47,0.32,0.73,0.88,0.21,Yes
0.73,0.13,0.53,0.16,0.03,Yes
0.99,0.3,0.68,0.89,0.27,Yes
0.03,0.33,0.99,0.06,0.42,Yes
0.73,0.99,0.84,0.9,0.01,Yes
0.91,0.43,0.8,0.74,0.89,Yes
0.15,0.66,0.52,0.65,0.79,Yes
0.83,0.65,0,0.4,0.04,No
0.02,0.26,0.65,0.56,0.32,No
0.53,0.22,0.77,0.72,0.22,No
0.38,0.44,0,0.42,0.85,No
0.56,0.57,0.38,0.31,0.15,No
0,0.36,0.84,0.75,0.11,No
0.02,0.76,0.29,0.17,0.58,No
0.34,0.33,0.74,0.79,0.35,No
0.45,0.83,0.17,0.12,0.24,No
0.54,0.49,0.7,0.01,0.16,No
0.19,0.02,0.15,0.56,0.04,No
0.52,0.79,0.27,0.86,0.51,No
0.19,0.99,0.09,0.67,0.28,No
0.37,0.46,0.41,0.31,0.83,No
0.94,0.61,0.07,0.87,0.88,Yes
0.1,0.13,0.84,1,0.52,Yes
0.74,0.26,0.94,0.72,0.64,Yes
0.97,0.75,0.74,0.44,0.1,Yes
0.74,0.16,0.02,0.49,0.98,Yes
0.56,0.63,0.51,0.86,0.81,Yes
0.38,0.51,0.88,0.34,0.04,Yes
0.9,0.14,0.49,0.31,0.74,Yes
0,0.55,0.66,0.04,0.22,Yes
0.98,0.49,0.52,0.52,0.23,Yes
0.24,0.39,0.22,0.95,0.68,Yes
0.55,0.02,0.97,0.77,0.57,Yes
0.22,0.41,0.92,0.79,0.81,Yes
0.33,0.88,0.3,0.35,0.82,Yes
0.86,0.58,0.61,0.31,0.06,Yes
0.07,0.63,0.55,0.22,0.87,Yes
0.92,0.48,0.16,0.59,0.07,Yes
0.35,0.2,0.03,0.65,0.59,Yes
0.63,0.62,0.4,0.96,0.09,Yes
0.84,0.58,0.96,0.44,0.75,Yes
0.61,0.09,0.37,0.36,0.88,Yes
0.9,0.59,0.28,0.18,0.28,Yes
0.34,0.07,0.72,0.04,0.66,No
0.27,0.52,0.52,0.68,0.25,No
0.63,0.2,0.92,0.34,0.19,No
0.57,0.76,0.56,0.37,0.23,No
0.75,0.86,0.83,0.32,0.58,No
0.41,0.19,0.07,0.6,0.58,No
0.88,0.71,0.43,0.35,0.77,No
0.67,0.59,0.82,0.45,0,No
0.9,0.75,0.54,0.83,0.53,No
0.87,0.04,0.38,0.84,0.48,No
0.75,0.02,0.02,0.08,0.98,No
0.27,0.11,0.28,0.72,0.52,No
0.74,0.84,0.62,0.87,0.55,No
0.05,0.18,0.69,0.35,0.5,No
0.79,0.58,0.35,0.38,0.43,Yes
0.24,0.34,0.87,0.05,0.57,Yes
0.7,0.82,0.92,0.52,0.93,Yes
0.8,0.62,0.53,0.57,0.9,Yes
0.38,0.45,0.82,0.1,0.26,Yes
0.37,0.88,0.87,0.65,0.64,Yes
0.28,0.7,0.23,0.45,0.35,Yes
0.53,0.82,0.55,0.1,0.84,Yes
0.19,0.56,0.99,0.85,0.27,Yes
0.02,0.18,0.76,0.76,0.76,Yes
0.86,0.03,0.84,0.4,0.87,Yes
0.97,0.01,0.78,0.52,0.31,Yes
0.17,0.07,0.36,0.4,0.1,Yes
0.6,0.51,0.74,0.86,0.19,Yes
0.71,0.71,0.82,0.44,0.61,Yes
0.53,0.09,0.9,0.23,0.65,Yes
0.87,0.21,0.73,0.91,0.86,Yes
0.24,0.51,0.39,0.05,0.17,Yes
0.71,0.47,0.86,0.72,0.08,Yes
0,0.56,0.5,0.43,0.41,Yes
0.81,0.09,0.66,0.64,0.37,Yes
0.73,0.96,0.3,0.65,0.85,Yes
0.39,0.05,0.17,0.5,0.6,No
0.15,0.88,0.56,0.53,0.51,No
0.33,0.98,0.14,0.95,0.17,No
0.88,0.61,0.27,0.04,0.94,No
0.62,0.92,0.76,0.1,0.76,No
0.09,0.39,0.31,0.43,0.24,No
0.39,0.4,0.04,0.51,0.2,No
0.67,0.63,0.94,0.84,0.14,No
0.76,0.95,0.77,0.09,0.62,No
0.12,0.2,0.98,0.19,0.64,No
0.88,0.25,0.7,0.85,0.53,No
0.67,0.11,0.16,0.72,0.63,No
0.2,0.39,0.52,0.63,0.2,No
0.95,0.59,0.4,0.02,0.42,No
0.28,0.82,0.14,0.17,0.55,Yes
0.15,0.91,0.59,0.42,0.5,Yes
0.82,0.69,0.29,0.62,0.84,Yes
0.58,0.93,0.77,0.33,0.14,Yes
0.04,0.2,0.16,0.36,0.71,Yes
0.16,0.33,0.32,0.16,0.59,Yes
0.56,0.37,0.65,0.53,0.05,Yes
0.25,0.74,0.18,0.88,0.94,Yes
0.5,0.04,0.15,0.94,0.49,Yes
0.84,0.43,0.04,0.19,0.11,Yes
1,0.37,0.55,0.27,0.26,Yes
0.19,0.18,0.44,0.31,0.43,Yes
0.14,0.12,0.49,0.14,0.87,Yes
0.59,0.97,0.78,0.18,0.41,Yes
0.9,0.69,0.47,0.73,0.62,Yes
0.8,0.14,0.11,0.06,0.76,Yes
0.67,0.52,0.41,0.24,0.98,Yes
0.8,0.91,0.43,0.89,0.18,Yes
0.75,0.15,0.81,0.82,0.52,Yes
0.77,0.21,0.27,0.24,0.07,Yes
0.57,0.36,0.4,0.53,0.15,Yes
0.84,0.91,0.91,0.05,0.26,Yes
0.65,0.17,0.8,0.68,0.5,No
0.6,0.84,0.7,0.82,0.54,No
0.12,0.14,0.54,0.73,0.21,No
0.84,0.17,0.44,0.32,0.63,No
0.23,0.62,0.83,0.16,0.82,No
0.81,0.7,0.6,0.55,0.57,No
0.03,0.11,0.94,0.11,0.29,No
1,0.13,0.26,0.88,0.25,No
0.93,0.43,0.2,0.11,0.6,No
0.47,0.23,0.11,0.31,0.15,No
0.61,0.49,0.62,0.77,0.72,No
0.18,0.7,0.24,0.63,0.41,No
0.87,0.55,0.14,0.12,0.15,No
0.68,0.6,0.84,0.49,0.83,No
0.83,0.85,0.71,0.37,0.55,Yes
0.15,0.92,0.62,0.94,0.1,Yes
