Default,LOAN,MORTDUE,VALUE,REASON,Reason_D,JOB,Mgr_D,Office_D,Prof_D,Sales_D,Self_D,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1700,30548,40320,HomeImp,1,Other,0,0,0,0,0,9,0,0,101.4660019,1,8,37.11361356
1,1800,28502,43034,HomeImp,1,Other,0,0,0,0,0,11,0,0,88.76602988,0,8,36.88489409
0,2300,102370,120953,HomeImp,1,Office,0,1,0,0,0,2,0,0,90.99253347,0,13,31.58850318
1,2400,34863,47471,HomeImp,1,Mgr,1,0,0,0,0,12,0,0,70.49108003,1,21,38.26360073
0,2400,98449,117195,HomeImp,1,Office,0,1,0,0,0,4,0,0,93.81177486,0,13,29.68182705
0,2900,103949,112505,HomeImp,1,Office,0,1,0,0,0,1,0,0,96.10232967,0,13,30.05113629
0,2900,104373,120702,HomeImp,1,Office,0,1,0,0,0,2,0,0,101.5402975,0,13,29.91585903
1,2900,7750,67996,HomeImp,1,Other,0,0,0,0,0,16,3,0,122.2046628,2,8,36.211348
1,2900,61962,70915,DebtCon,0,Mgr,1,0,0,0,0,2,0,0,282.8016592,3,37,49.20639579
0,3000,104570,121729,HomeImp,1,Office,0,1,0,0,0,2,0,0,85.8843719,0,14,32.05978327
0,3200,74864,87266,HomeImp,1,ProfExe,0,0,1,0,0,7,0,0,250.6312692,0,12,42.90999735
1,3300,130518,164317,DebtCon,0,Other,0,0,0,0,0,9,0,6,192.289149,0,33,35.73055919
0,3600,100693,114743,HomeImp,1,Office,0,1,0,0,0,6,0,0,88.47045214,0,14,29.39354338
0,3600,52337,63989,HomeImp,1,Office,0,1,0,0,0,20,0,0,204.2724988,0,20,20.47091551
1,3700,17857,21144,HomeImp,1,Other,0,0,0,0,0,5,0,0,129.7173231,1,9,26.63434752
0,3800,51180,63459,HomeImp,1,Office,0,1,0,0,0,20,0,0,203.7515336,0,20,20.06704205
1,3900,29896,45960,HomeImp,1,Other,0,0,0,0,0,11,0,0,146.1232422,0,14,24.47888119
0,3900,102143,118742,HomeImp,1,Office,0,1,0,0,0,2,0,0,85.27736558,0,13,29.34392109
0,4000,105164,112774,HomeImp,1,Office,0,1,0,0,0,1,0,0,94.72487417,0,13,29.39092806
0,4000,54543,61777,HomeImp,1,Office,0,1,0,0,0,21,0,0,205.58668,0,19,21.80656346
1,4000,26572,31960,HomeImp,1,Office,0,1,0,0,0,11,0,0,117.7951039,0,8,41.28649195
0,4100,57992,63797,DebtCon,0,ProfExe,0,0,1,0,0,7,0,4,165.505037,1,31,22.27817437
